centract2020,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022
36081107202,0,0,0,0,0,0,0,0,0,0,0,0,0
36047066600,0,0,0,0,0,0,0,0,0,0,0,0,0
36047070203,0,0,0,0,0,0,0,0,0,0,0,0,0
36081071600,0,0,0,0,0,0,0,0,0,0,0,0,0
36005050400,0,0,0,0,0,0,0,0,0,0,0,0,0
36005051601,3,1,1,1,-1,2,14,4,10,12,4,1,3
36081010701,0,0,0,0,0,0,0,0,0,0,0,0,0
36085032300,-3,0,-1,0,0,0,0,0,-1,3,-2,1,-2
36085022602,28,19,4,-2,-1,-3,6,-3,-1,-3,4,22,9
36047070602,0,0,0,0,0,0,0,0,0,0,0,0,0
36081091602,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015603,20,3,-1,7,9,0,-2,6,5,3,2,-4,5
36081097207,0,0,0,0,0,0,0,0,0,0,0,0,0
36047062800,1,0,-4,1,6,0,-17,-19,32,7,0,1,3
36085029102,-1,5,15,8,19,2,10,5,9,6,7,6,5
36047070202,0,0,0,0,0,0,0,0,0,0,0,0,0
36081094500,4,2,1,-3,0,2,-1,4,-3,3,-1,-1,4
36081094202,10,21,6,0,-10,-2,-1,1,0,1,0,2,16
36081033100,0,0,0,0,0,0,0,0,0,0,0,0,0
36081092900,0,10,1,-2,3,-1,-1,-3,4,196,10,2,2
36005027402,-1,0,1,0,0,0,1,1,0,0,3,0,0
36081066401,-1,5,-1,2,3,4,2,1,2,3,0,2,1
36081021900,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022801,0,0,0,0,-1,0,0,0,0,-1,0,0,0
36061029900,0,0,0,0,0,0,0,0,0,0,0,0,0
36085990100,0,0,0,0,0,0,0,0,0,0,0,0,0
36085031902,9,14,-4,1,-2,18,2,1,-4,17,11,1,-1
36085031901,0,0,5,1,0,0,0,0,1,2,0,0,0
36085030302,0,0,0,3,2,0,-3,2,0,7,3,4,0
36085030301,0,0,0,0,0,1,0,0,0,0,1,0,7
36085029106,-1,0,0,0,0,0,0,0,0,-2,1,0,1
36085029105,0,2,4,0,0,2,-1,11,0,1,-1,6,8
36085029104,1,0,0,1,11,45,51,22,1,4,-2,0,0
36085027900,1,4,2,3,-2,0,1,5,2,4,7,3,2
36085027706,4,0,0,0,0,0,0,0,0,0,-4,0,0
36085027705,2,0,0,0,0,0,0,2,0,0,0,0,0
36085027704,13,5,18,13,2,2,2,1,0,0,8,0,-2
36085027702,0,0,0,-1,0,10,0,5,4,0,0,0,0
36085027302,0,0,-1,-1,-1,0,5,22,-1,2,3,-1,2
36085027301,1,-1,0,6,73,25,0,0,8,11,11,2,2
36085025100,1,-1,7,4,12,1,9,2,5,2,0,10,-3
36085024800,0,4,4,10,10,13,6,-1,-4,-2,7,11,14
36085024700,0,2,0,2,1,2,2,1,-2,4,-1,2,-1
36085024402,23,11,15,20,6,-2,17,12,21,0,15,8,8
36085024401,7,5,8,1,-3,-3,17,11,11,10,23,24,10
36085023900,1,6,2,7,3,1,0,1,2,0,0,6,0
36085023100,2,-1,2,3,16,4,5,4,13,7,10,4,4
36085022802,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022601,-2,24,6,11,6,3,9,12,57,55,19,2,14
36085022300,1,13,0,3,2,6,6,1,1,7,3,7,-2
36085021300,0,2,5,3,-1,1,5,2,1,3,3,1,1
36085020806,10,4,18,8,-1,2,8,24,20,0,0,-1,0
36085020805,6,0,4,4,0,-4,4,2,-1,-2,0,13,8
36085020804,13,18,4,13,23,15,-1,1,21,-2,12,6,-3
36085020803,26,55,43,75,50,45,33,33,31,7,4,17,14
36085020702,2,4,0,-3,4,0,5,3,-2,-4,0,10,48
36085020701,1,1,1,0,5,-1,53,16,53,40,2,5,-2
36085020100,1,11,-1,0,0,0,-2,3,0,-1,0,4,-2
36085019800,28,7,29,9,27,6,11,22,4,21,15,31,42
36085019700,1,1,3,0,-1,0,0,1,0,1,0,0,0
36085018902,7,3,1,6,1,4,-1,0,0,0,0,1,0
36085018901,0,5,12,2,5,0,9,1,8,4,4,9,9
36085018704,0,1,1,0,0,0,1,0,1,0,0,13,0
36085018703,3,0,1,0,-1,-1,3,9,0,1,1,2,5
36085018701,0,-1,0,0,2,0,-1,1,2,1,8,-1,4
36085018100,5,1,3,8,3,0,16,7,160,-1,6,1,0
36085017702,0,0,0,0,-1,0,-1,-1,-1,-1,-1,3,11
36085017701,8,3,2,0,-2,-3,0,7,9,2,2,3,1
36085017600,5,3,15,4,-3,-5,26,17,26,27,8,3,4
36085017300,0,0,5,-1,-2,10,0,0,0,0,0,0,3
36085017016,0,-1,0,0,0,0,2,0,0,1,0,0,-1
36085017015,14,4,4,0,-2,2,5,6,-1,6,3,3,0
36085017014,6,1,0,0,0,4,3,6,6,5,5,10,12
